date,langue,theme,conversation
2025-04-18 01:05:11,fr,Sol,"[{'role': 'user', 'content': 'Comment améliorer un sol pauvre ?'}, {'role': 'assistant', 'content': 'Utilisez du compost ou du fumier.'}]"
2025-04-18 01:05:19,fr,Sol,"[{'role': 'user', 'content': 'Comment améliorer un sol pauvre ?'}, {'role': 'assistant', 'content': 'Utilisez du compost ou du fumier.'}]"
2025-04-18 01:05:29,fr,Plantation,"[{'role': 'user', 'content': 'Comment améliorer un sol pauvre ?'}, {'role': 'assistant', 'content': 'Utilisez du compost ou du fumier.'}, {'role': 'user', 'content': 'Quand planter le mil ?'}, {'role': 'assistant', 'content': 'Le mil se plante en juin avec les premières pluies.'}]"
2025-04-18 01:05:48,fr,Plantation,"[{'role': 'user', 'content': 'Comment améliorer un sol pauvre ?'}, {'role': 'assistant', 'content': 'Utilisez du compost ou du fumier.'}, {'role': 'user', 'content': 'Quand planter le mil ?'}, {'role': 'assistant', 'content': 'Le mil se plante en juin avec les premières pluies.'}]"
2025-04-18 01:07:20,fr,Plantation,"[{'role': 'user', 'content': 'Comment améliorer un sol pauvre ?'}, {'role': 'assistant', 'content': 'Utilisez du compost ou du fumier.'}, {'role': 'user', 'content': 'Quand planter le mil ?'}, {'role': 'assistant', 'content': 'Le mil se plante en juin avec les premières pluies.'}, {'role': 'user', 'content': 'comment planter du riz ?'}, {'role': 'assistant', 'content': 'Je ne sais pas répondre.'}]"
2025-04-18 01:07:25,fr,Plantation,"[{'role': 'user', 'content': 'Comment améliorer un sol pauvre ?'}, {'role': 'assistant', 'content': 'Utilisez du compost ou du fumier.'}, {'role': 'user', 'content': 'Quand planter le mil ?'}, {'role': 'assistant', 'content': 'Le mil se plante en juin avec les premières pluies.'}, {'role': 'user', 'content': 'comment planter du riz ?'}, {'role': 'assistant', 'content': 'Je ne sais pas répondre.'}, {'role': 'user', 'content': 'Quand planter le mil ?'}, {'role': 'assistant', 'content': 'Le mil se plante en juin avec les premières pluies.'}]"
2025-04-18 01:09:32,fr,Plantation,"[{'role': 'user', 'content': 'Comment améliorer un sol pauvre ?'}, {'role': 'assistant', 'content': 'Utilisez du compost ou du fumier.'}, {'role': 'user', 'content': 'Quand planter le mil ?'}, {'role': 'assistant', 'content': 'Le mil se plante en juin avec les premières pluies.'}, {'role': 'user', 'content': 'comment planter du riz ?'}, {'role': 'assistant', 'content': 'Je ne sais pas répondre.'}, {'role': 'user', 'content': 'Quand planter le mil ?'}, {'role': 'assistant', 'content': 'Le mil se plante en juin avec les premières pluies.'}]"
2025-04-18 01:10:37,fr,Plantation,"[{'role': 'user', 'content': 'Comment améliorer un sol pauvre ?'}, {'role': 'assistant', 'content': 'Utilisez du compost ou du fumier.'}, {'role': 'user', 'content': 'Quand planter le mil ?'}, {'role': 'assistant', 'content': 'Le mil se plante en juin avec les premières pluies.'}, {'role': 'user', 'content': 'comment planter du riz ?'}, {'role': 'assistant', 'content': 'Je ne sais pas répondre.'}, {'role': 'user', 'content': 'Quand planter le mil ?'}, {'role': 'assistant', 'content': 'Le mil se plante en juin avec les premières pluies.'}]"
2025-04-18 01:10:40,fr,Plantation,"[{'role': 'user', 'content': 'Comment améliorer un sol pauvre ?'}, {'role': 'assistant', 'content': 'Utilisez du compost ou du fumier.'}, {'role': 'user', 'content': 'Quand planter le mil ?'}, {'role': 'assistant', 'content': 'Le mil se plante en juin avec les premières pluies.'}, {'role': 'user', 'content': 'comment planter du riz ?'}, {'role': 'assistant', 'content': 'Je ne sais pas répondre.'}, {'role': 'user', 'content': 'Quand planter le mil ?'}, {'role': 'assistant', 'content': 'Le mil se plante en juin avec les premières pluies.'}]"
2025-04-18 01:19:24,br,Tous,"[{'role': 'user', 'content': 'Quand planter le mil ?'}, {'role': 'assistant', 'content': 'Le mil se plante en juin avec les premières pluies.'}]"
2025-04-18 01:20:31,br,Plantation,"[{'role': 'user', 'content': 'Quand planter le mil ?'}, {'role': 'assistant', 'content': 'Le mil se plante en juin avec les premières pluies.'}, {'role': 'user', 'content': 'Ɲɔ bɛ sɛnɛ tuma jumɛn ?'}, {'role': 'assistant', 'content': 'Ɲɔ bɛ sɛnɛ zuwɛnkalo la, sanji fɔlɔw la.'}, {'role': 'user', 'content': 'quand planter le riz ?'}, {'role': 'assistant', 'content': 'Je ne sais pas répondre à cette question.'}]"
2025-04-21 06:57:45,fr,Plantation,"[{'role': 'user', 'content': 'comment arroser le sol'}, {'role': 'assistant', 'content': 'Je ne sais pas répondre à cette question.'}]"
